id	x	y	z	longitude	latitude
99003	10.364106363049546	-7.380092570001807	62.72256	-35.453979955319426	78.53318163648335
99016	11.631286377290797	-4.9503495401284585	62.7392	-23.05491260581158	78.60835875972367
99032	5.6575572448053935	-11.189933526136324	62.75968	-63.1791374064174	78.701561978242
99037	10.751969557955569	-6.3886111212372585	62.76608	-30.717957656606302	78.73084399632334
99053	4.070486719276546	-11.716613044501953	62.78656	-70.84218245721291	78.8250553753163
99066	6.447091551988733	-10.49728918722714	62.8032	-58.443115107705125	78.90218345530278
99071	11.044586724223912	-5.38249495411715	62.8096	-25.98193535789403	78.9319894076305
99079	8.49159580827011	-8.806844100094516	62.81984	-46.04404775819734	78.97984451379803
99087	4.9339035576197405	-11.137218812509117	62.83008	-66.10616015849985	79.02790574820366
99092	10.113145080442942	-6.7306075350975805	62.83648	-33.64498040868955	79.05804990076432
99100	7.159211249223782	-9.748614236422927	62.84672	-53.707092808992	79.10645192368132
99105	11.241938139514223	-4.370827511231241	62.85312	-21.24591305918176	79.1368113737017
99113	9.020254234831727	-7.926725871972639	62.86336	-41.30802545948421	79.18556163202541
99121	5.727998467120029	-10.492876469332424	62.8736	-61.37013785978672	79.23453000883487
99126	10.435341340770501	-5.762746836501304	62.88	-28.908958109976425	79.26524733355379
99134	7.789752979622139	-8.951952929884541	62.89024	-48.971070510278935	79.31457656142194
99155	6.447627969550203	-9.791021625544209	62.91712	-56.63411556107445	79.44514981714795
99160	10.66395263135616	-4.786517009871746	62.92352	-24.172935811263358	79.476474737334
99168	8.335325467636148	-8.115676287961241	62.93376	-44.235048211566664	79.52678728333733
99181	9.80672110983504	-6.088954008195143	62.9504	-31.83598086205882	79.60905890822399
99189	7.0883703093168675	-9.039514209756815	62.96064	-51.89809326236218	79.66000935867437
99194	10.799479890676306	-3.8109195385468677	62.96704	-19.43691351255103	79.6919798775953
99202	8.793333124795867	-7.248413368315	62.97728	-39.499025912854336	79.7433377374222
99210	5.74453565434613	-9.776125733926794	62.98752	-59.561138313156846	79.7949512767695
99215	10.062403301281188	-5.14918273476142	62.99392	-27.099958563346604	79.82734130472473
99223	7.646557592279609	-8.246573814763995	63.00416	-47.16207096364906	79.87937868463605
99244	6.391255373505638	-9.068619038697987	63.03104	-54.82511601444378	80.01725379659428
99249	10.226355384849917	-4.207471186966298	63.03744	-22.363936264633423	80.05035990979316
